Report #,Source,Date,Division,Standard,Related Notices,Notes
AR-026512-A-00406568-S1-Audit Report-ENG,Internal Audit,2019-05-07,,ISO Audit - S1 Surveillance Audit,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: External audit
Legacy status: CLOSED
Response due: 2019-05-16
Attachments to re-import (12): AR-026512-A-00406568-S1-Audit Report-ENG.DOCX, AP-026512-A-00406568-S1-Audit Plan 2015-ENG-2019.DOCX, AR-026512-A-00406568-S1-Audit Report-ENG.DOCX, Audit Schedule 2019.pdf, Risk Management Matrix.xlsx, Audit Reminder from SAI Global for MRDC Operations Corporation starting on 05_06_19.msg, Audit Reminder from SAI Global for MRDC Operations Corporation starting on 05_07_19.msg, FW_ Summary of services and agreement_ audits 2019-2020_ MRDC .msg, ISO 9008 2015.pdf, Opportunities for Improvement Action List.xlsx, Opportunities for Improvement Audit Results.docx, ~$Opportunities for Improvement Action List.xlsx"
AR-026512-A-00406569-S2-Audit Report-ENG,Internal Audit,2020-09-18,,ISO Audit - 24 Month Surveillance Audit,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: External audit
Legacy status: CLOSED
Response due: 2020-09-27
Attachments to re-import (62): AR-026512-A-00406569-S2-Audit Report-ENG.pdf, 2020 calibrations.pdf, 2020-02-13_145420-MRDC-PO-2020.pdf, Adv.Aud.Sk -PPT - COMPLETE - 2020.pdf, AP-026512-A-00406569-S2-Audit Plan 2015-ENG-2020.DOCX, AR-026512-A-00406569-S2-Audit Report-ENG.DOCX, AR-026512-A-00406569-S2-Audit Report-ENG.pdf, Fleet Equipment Inventory by Series.xlsx, IMG_3181.jpg, IN312515.pdf, IN312516.pdf, ISO Fleet.pdf, MRDC Meeting Matrix Log.xlsx, ops meeting 5.pdf, QMS Documents - 2020.zip, SAI Bank Letter CND (1).pdf, SAI Bank Letter CND.pdf, MRDC Strategic Quality Plan Documents.msg, MRDC Strategic Quality Plan-Draft.docx, MRDC Strategic Quality Plan-Draft2.docx, OC4066.pdf, ~$DC Strategic Quality Plan-Draft2.docx, Interested Party Matrix - Sample- 2020.docx, Interested Party Matrix - Template- 2020.docx, Performance Measures Recording Sheet- Template - 2020.docx, Performance Measures Work Sheet- Template - 2020.docx, Performance Measures-Sample - 2020.docx, APPENDIX A - INTERESTED PARTIES MATRIX.docx, APPENDIX C- SWOT ANALYSIS.docx, APPENDIX D - PESTLE ANALYSIS.docx, APPENDIX F - RACI.xlsx, APPENDIX G - PROCESS OVERVIEW.docx, APPENDIX I - POLICY & OBJECTIVES.doc, APPENDIX J- PERFORMANCE MEASURES.docx, APPENDIX K - MISSION STATEMENT.docx, APPENDIX L - QUALITY RECORDS MATRIX.xlsx, APPENDIX M- MANAGEMENT OF CHANGE FORM.xlsx, APPENDIX N- MEETING ACTION ITEMS.xlsx, MRDC SWOT ANALYSIS- MRDC 2020mrp.docx, MRDC SWOT Analysis_TJ.xlsx, Responsibility Matrix - Sample - 2020.doc, Responsibility Matrix - Template - 2020.doc, STRATEGIC PLANNING EXERCISE Instructiions -2020.docx, SWOT ANALYSIS- Sample - 2020.docx, SWOT ANALYSIS- Template - 2020.docx, MRDC Managment of Change Form.xlsx, MRDC Meeting Agenda_Minutes_Action Items.xlsx, MRDC Quality Record Matrix - 2020.xlsx, MRDC RACI Matrix.xlsx, MRDC Summary of Key Perfomance Measures.xlsx, MRDC SWOT Analysis_26 Aug 2020.docx, PESTLE analysis Work Sheet - MRDC 2020mrp (002).docx, PESTLE analysis Work Sheet_27 Aug 2020.docx, Record Matrix.pdf, PESTLE analysis - Sample - 2020.DOCX, PESTLE analysis Work Sheet - 2020.docx, Meeting  Agenda- Minutes-Action Items - Sample - 2020.docx, Meeting  Agenda- Minutes-Action Items - Template - 2020.docx, Meeting Matrix Log Template -2020.docx, Meeting Matrix Log-Sample.docx, MRDC MANAGEMENT OF CHANGE FORM - 2020.docx, ""QualityRecord Matrix, By Department - Template-2020.doc (https://v5.airtableusercontent.com/v3/u/55/55/1785182400000/JZx1RmaeHcbnmnxZXxbmAA/Rmi5h2K2F_RP3ZcEyKwyYhG6vXBhp_2eJSZhaxCmqJpVFIhIC3Z5fJR0SlIWCYwC5hf19tQCLAaNcmkNFD_jBIKckF6_IPLtaUsyGr8_FYDOfM924qrBPsEJIaQMBc_B0paCGvxokX0jV9l-_aL1TTeo0am1N5aPIlD4O0LoYSeWUI-wZzPOZJ68c228PBe9/5tDXMfvfcedNnrO-D2DBhkZ-SuH-wquAEmAM5303e8A)"",QualityRecord Matrix- Sample-2020.doc"
AR-026512-A-00449377-RR-Audit Report-ENG-Amended,Internal Audit,2021-05-14,,ISO Audit - Re-Assessment Audit,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: External audit
Legacy status: COMPLETED
Response due: 2021-05-23
Attachments to re-import (32): AR-026512-A-00449377-RR-Audit Report-ENG-Amended.pdf, 2021 Schedule.pdf, AP-026512-A-00449377-RR-Audit Plan 2015-ENG-REMOTE-2021.DOCX, AR-026512-A-00449377-RR-Audit Report-ENG.pdf, AR-026512-A-00449377-RR-Audit Report-ENG-Amended.pdf, IN323167.pdf, IN323168.pdf, ORO Audit.pdf, POS MRDC Operations Corporation 026512-03.pdf, RG Audit.pdf, SAI Bank Letter CND.pdf, 29 - Weekly DMT & NCN Stats - 10 May 2021.xlsx, 28 - Weekly DMT & NCN Stats - 3 May 2021.xlsx, FMHP Liaison Meeting No 132 -March 23 2021.doc, ODAFM895 -06 May 21.pdf, MRDC RACI Matrix.xlsx, ""Activity Summary October 1 - March 31, 2021.xls (https://v5.airtableusercontent.com/v3/u/55/55/1785182400000/qM22zm71ThfYWhIQZSmMog/iioI10eD642M-7YLVrclD34jz3_5AVOgkf1z1-1ztHsg9ZdMSJwK1Ahi2aPOiNC3INaQuLZEF9qfZXABWu7tonYUcVF6c5D_nrUN28Wuyk3gVhoEI1qBWu2laIENbeqwL64MrJtKDzt-9LINri70W9LilJN0V-iZmx6tixNv7uXStW4jGxpC5rINXJAEcoZD/XLR76sWFo-2e3iC0RGwJ6me9X9y234qp6i5PpAHHKAY)"",2021-01-20 - River Glade Depot - Night Shift - Ross Stewart.pdf, ODAFM894 -04 May 21.pdf, MRDC SWOT Analysis_26 Aug 2020.docx, ACS MVA Summary_30 apr 2021.pdf, Fleet Equipment Inventory by Series.xlsx, 2021-01-19 - River Glade Depot - Day Shift - Scott Brownell.pdf, Record Matrix.pdf, Operations Meeting Minutes_2021_145_28 Apr 2021.xlsx, 2021-01-20 - River Glade Depot - Day Shift - Scott Brownell.pdf, 2021-01-19 - River Glade Depot - Night Shift - Ross Stewart.pdf, NCN Status Graph_30 Apr 2021.pdf, MRDC Current Org Chart Sept 17_20 w photos.jpg, NCN Summary_ 30 Apr 2021.pdf, ACS QMS Summary_30 Apr 2021.pdf, Operations Meeting Minutes_2021_144_23 Mar 2021.xlsx, Q4 Prov Report 2021.pdf"
AR-026512-A-00449378-S1-Audit Report-ENG,Internal Audit,2022-05-30,Corporate,OMM Schedule 3 - Part 6.0 - Quality Management System,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: External audit
Legacy status: CLOSED
Response due: 2022-06-08
Issued to: mpark@mrdc.ca, jgreeley@mrdc.ca
Attachments to re-import (15): AR-026512-A-00449378-S1-Audit Report-ENG.pdf, 1421-76 calibration record.pdf, 1621-37 calibration.pdf, 1810-25 Fleet Request.pdf, 2022-04-29-Night.pdf, 2022-05-19-Day.pdf, 2022-05-26-Day.pdf, 70854892.pdf, 70854910.pdf, 70854923.pdf, 20220315104250124.pdf, AP-026512-A-00449378-S1-Audit Plan 2015-ENG.docx, CIS-026512-A-00449378-S1-Company Information Sheet-ENG.docx, Fleet Request Record.pdf, Pre Post Trip.pdf"
IA-2020-01,Internal Audit,2020-01-15,,Depot Cameras - Oromocto,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: CLOSED
Response due: 2020-01-24
Attachments to re-import (3): IA-2020-01.xls, L.Mercer Response.pdf, RE_ Quality Audits and Videos.msg"
IA-2020-02,Internal Audit,2020-01-20,,Video Camera Audit - 1521-53,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: CLOSED
Response due: 2020-01-29
Attachments to re-import (3): IA-2020-02.xls, L.Mercer Response.pdf, RE_ Quality Audits and Videos.msg"
IA-2020-03,Internal Audit,2020-02-20,,Annual Inspection - 2019 AI-2,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: OPEN
Response due: 2020-02-29
Attachments to re-import (4): IA-2020-03.xls, Copy of AI-2 Gravel Shoulders_Detailed Inspection.pdf, Copy of AI-2 Gravel Shoulders_Detailed Inspection.xls, NC-2020-01.pdf"
IA-2020-04,Internal Audit,2020-02-20,,Annual Inspection - 2019 AI-3,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: OPEN
Response due: 2020-02-29
Attachments to re-import (4): Copy of IA-2020-04.pdf, Copy of AI-4 Culverts_Detailed Inspection.pdf, IA-2020-04.xls, Copy of NC-2020-02.pdf"
IA-2020-05,Internal Audit,2020-02-20,,Annual Inspection - 2019 AI-5,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: OPEN
Response due: 2020-02-29
Attachments to re-import (3): IA-2020-05.xls, Copy of AI-5 Curbs Gutters Manholes Catch Basins_Detailed Inspection.pdf, Copy of NC-2020-02.pdf"
IA-2020-06,Internal Audit,2020-02-19,,Safe Work Practices,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: OPEN
Response due: 2020-02-28
Attachments to re-import (4): IA-2020-06.xls, Copy of IA-2020-06.pdf, 18 Feb 2020 - pothole patching.PNG, 2020_0218_110259.MOV"
IA-2020-07,Internal Audit,2020-02-19,,WATCM Violation,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: OPEN
Response due: 2020-02-28
Attachments to re-import (5): IA-2020-07.xls, 19 Feb 2020 - no helmet.PNG, 19 Feb 2020 - TMA spacing_helmet.PNG, 2020_0219_155856.MOV, NC-2020-04.xls"
IA-2020-08,Internal Audit,2020-02-19,,Safe Work Practices,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: OPEN
Response due: 2020-02-28
Attachments to re-import (3): IA-2020-08.xls, 19 Feb 2020_drainage.PNG, 2020_0219_143611.MOV"
IA-2020-09,Internal Audit,2020-03-02,,Calibrations,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: CLOSED
Response due: 2020-03-11
Attachments to re-import (3): IA-2020-09.xls, Copy of Fleet Equipment Inventory by Series_2 Mar 2020.xlsx, Fall Calibration.PNG"
IA-2020-10,Internal Audit,2020-03-03,,Traffic Records,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: OPEN
Response due: 2020-03-12
Attachments to re-import (2): IA-2020-10.xls, IA-2020-10 docs.pdf"
IA-2020-11,Internal Audit,,,WATCM Violation,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: OPEN
Attachments to re-import (6): OR Patrol - Traffic Control Record - 275 East Bound_.pdf, Work Being Done on Highway_9 July 2020.pdf, FW_ OR Patrol - Traffic Control Record - 275 East Bound.msg, FW_ OR Patrol - Work Being Done on the Highway.msg, 112607-2.ASF, Copy of NC-2020-05.xls"
IA-2020-12,Internal Audit,2020-07-20,,OMM Schedule 3 Part 1 - 1.6 Safety Plan,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: CLOSED
Response due: 2020-07-29
Attachments to re-import (2): IA-2020-12_BLangley.xls, Schedule 3 Part 1.0_1.6 Safety Plan.pdf"
IA-2020-13,Internal Audit,,,Vehicle Cleanliness - July 2020,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: OPEN
Attachments to re-import (9): Vehicle_Cleanliness_dispatch_21 July 2020.xlsx, Copy of Vehicle Cleanliness Report - 2020-07-22 - 1312-09.pdf, Copy of Vehicle Cleanliness Report - 2020-07-22 - 1610-15.pdf, Copy of Vehicle Cleanliness Report - 2020-07-22 - 1910-07.pdf, Copy of Vehicle Cleanliness Report - 2020-07-23 - 1312-10.pdf, Copy of Vehicle Cleanliness Report - 2020-07-23 - 1810-25.pdf, Copy of Vehicle Cleanliness Report - 2020-07-23 - 191006.pdf, Copy of Vehicle Cleanliness Report - 2020-07-24 - 1710-05.pdf, Copy of Vehicle Cleanliness Report - 2020-07-24 - 1910-09.pdf"
IA-2021-01,Internal Audit,2021-01-27,Western,OMM 702 - Conventional Illumination,NC-2021-01,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: COMPLETED
Response due: 2021-02-05
Issued to: dmelanson@mrdc.ca
Attachments to re-import (6): IA-2021-01.xls, TRAFFIC 702 Conventional Illumination-May 2015.pdf, MRDC Deficiency Tracker - Lighting - Western - 27 Jan 2021.pdf, NC-2020-01.pdf, NC-2021-01.xls, NC-2021-01.xlsx"
IA-2021-02,Internal Audit,2021-01-27,,OMM 702 - Conventional Illumination,NC-2021-02,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: COMPLETED
Response due: 2021-02-05
Attachments to re-import (5): IA-2021-02.xls, MRDC Deficiency Tracker - Lighting - Western - 27 Jan 2021.pdf, TRAFFIC 702 Conventional Illumination-May 2015.pdf, NC-2021-02.pdf, NC-2021-02.xls"
IA-2021-03,Internal Audit,2021-01-27,,OMM 702 - Conventional Illumination,NC-2021-03,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: COMPLETED
Response due: 2021-02-05
Attachments to re-import (5): IA-2021-03.xls, MRDC Deficiency Tracker - Lighting - Eastern - 27 Jan 2021.pdf, TRAFFIC 703 High Mast Illumination-Final Approved.pdf, NC-2021-03.pdf, NC-2021-03.xls"
IA-2021-04,Internal Audit,2021-01-27,,OMM 703 - High Mast Illumination,NC-2021-04,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: COMPLETED
Response due: 2021-02-05
Attachments to re-import (5): IA-2021-04.xls, MRDC Deficiency Tracker - Lighting - Eastern - 27 Jan 2021.pdf, TRAFFIC 703 High Mast Illumination-Final Approved.pdf, NC-2021-04.pdf, NC-2021-04.xls"
IA-2021-05,Internal Audit,2021-01-27,,OMM 101 - Asphalt Concrete Pavements,NC-2021-05,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: COMPLETED
Response due: 2021-02-05
Attachments to re-import (4): IA-2021-05.xls, 101 Asphalt Concrete.pdf, MRDC Deficiency Tracker - Potholes in NC - Western.pdf, NC-2021-05.xls"
IA-2021-06,Internal Audit,2021-02-11,,OMM Schedule 3 - Part 6.0 - Quality Management System,DEF-2021-01,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: COMPLETED
Response due: 2021-02-20
Attachments to re-import (4): IA-2021-06.xls, MRDC Employee _ Training Record_ Employee Drivers License - Airtable - 11 Feb 2021.pdf, Troy Johnton shared records from the _Employee Drivers License_ table.msg, DEF-2021-01.xls"
IA-2021-07,Internal Audit,,,OMM 705 - Ground Mounted Signs,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Attachments to re-import (1): 5.1 Reglatory and Warning Sign Replacement and Inventory Procedure.doc"
IA-2021-08,Internal Audit,,,Employee Review - HR,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Attachments to re-import (1): HR_3.02.NB_Job Performance Review.pdf"
IA-2021-09,Internal Audit,,,Emergency Operational Plans - Flooding,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit"
IA-2021-10,Internal Audit,,,Time Sheet Audit - Night Shift,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit"
IA-2021-11,Internal Audit,2021-03-22,,Contractor Evaluations,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: COMPLETED
Response due: 2021-03-31
Attachments to re-import (2): IA-2021-11 - Contractor Evaluations.xls, email.pdf"
IA-2021-12,Internal Audit,,,Time Sheet Audit - Efficiency - River Glade,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit"
IA-2021-13,Internal Audit,2021-05-07,,DMT Audit - Items in NC - River Glade,NC-2021-06,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: COMPLETED
Response due: 2021-05-16
Attachments to re-import (3): IA-2021-13.xls, MRDC Deficiency Tracker - Deficiency Search Results - IA-2021-13.pdf, NC-2021-06.xls"
IA-2021-14,Internal Audit,2021-05-07,,DMT Audit - Items in NC - Oromocto,NC-2021-07,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit
Legacy status: COMPLETED
Response due: 2021-05-16
Attachments to re-import (3): IA-2021-14.xls, MRDC Deficiency Tracker - Deficiency Search Results - IA-2021-14.pdf, NC-2021-07.xls"
IA-2021-15,Internal Audit,,,Time Sheet Audit - Efficiency - Oromocto,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit"
IA-2021-16,Internal Audit,,,,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit"
IA-2021-17,Internal Audit,,,,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit"
IA-2021-18,Internal Audit,,,,,"[2026-07-27 · migration] Imported from NBHC tracker (appAKFzMSPbYl3FJ9) — Internal Audit Results
Type: Internal audit"
